station_id,station_name,monitor_time,quality,primary_pollutant,PM2.5_ug_m3,PM10_ug_m3,O3_ug_m3,CO_mg_m3,SO2_ug_m3,NO2_ug_m3,AQI
175,长宁仙霞,2026-06-23 02:00:00,优,-,14.0,18.0,71.0,0.2,7.0,11.0,23
175,长宁仙霞,2026-06-23 03:00:00,优,-,13.0,16.0,71.0,0.2,7.0,8.0,23
175,长宁仙霞,2026-06-23 04:00:00,优,-,9.0,10.0,71.0,0.2,7.0,6.0,23
175,长宁仙霞,2026-06-23 05:00:00,优,-,12.0,13.0,61.0,0.2,7.0,11.0,20
175,长宁仙霞,2026-06-23 06:00:00,优,-,8.0,8.0,64.0,0.3,7.0,10.0,20
175,长宁仙霞,2026-06-23 07:00:00,优,-,4.0,4.0,76.0,0.3,7.0,11.0,24
175,长宁仙霞,2026-06-23 08:00:00,优,-,4.0,,77.0,0.2,7.0,14.0,25
175,长宁仙霞,2026-06-23 09:00:00,优,-,4.0,,82.0,0.2,7.0,12.0,26
175,长宁仙霞,2026-06-23 10:00:00,优,-,5.0,5.0,84.0,0.3,7.0,11.0,27
175,长宁仙霞,2026-06-23 11:00:00,优,-,6.0,7.0,74.0,0.3,7.0,18.0,24
175,长宁仙霞,2026-06-23 12:00:00,优,-,8.0,8.0,73.0,0.3,7.0,17.0,23
175,长宁仙霞,2026-06-23 13:00:00,优,-,6.0,6.0,77.0,0.2,7.0,14.0,25
175,长宁仙霞,2026-06-23 14:00:00,优,-,6.0,6.0,74.0,0.2,7.0,11.0,24
175,长宁仙霞,2026-06-23 15:00:00,优,-,7.0,7.0,76.0,0.2,7.0,11.0,24
175,长宁仙霞,2026-06-23 16:00:00,优,-,7.0,8.0,71.0,0.2,7.0,14.0,23
175,长宁仙霞,2026-06-23 17:00:00,优,-,6.0,6.0,71.0,0.2,7.0,14.0,23
175,长宁仙霞,2026-06-23 18:00:00,优,-,5.0,6.0,74.0,0.2,7.0,14.0,24
175,长宁仙霞,2026-06-23 19:00:00,优,-,5.0,6.0,74.0,0.2,7.0,14.0,24
175,长宁仙霞,2026-06-23 20:00:00,优,-,5.0,5.0,80.0,0.2,7.0,15.0,25
175,长宁仙霞,2026-06-23 21:00:00,优,-,8.0,10.0,73.0,0.2,7.0,17.0,23
175,长宁仙霞,2026-06-23 22:00:00,优,-,16.0,20.0,64.0,0.2,7.0,19.0,23
175,长宁仙霞,2026-06-23 23:00:00,优,-,21.0,26.0,60.0,0.2,7.0,18.0,30
175,长宁仙霞,2026-06-24 00:00:00,优,-,17.0,20.0,56.0,0.2,7.0,20.0,25
175,长宁仙霞,2026-06-24 01:00:00,优,-,10.0,11.0,68.0,0.2,7.0,14.0,22
183,静安监测站,2026-06-23 02:00:00,优,-,13.0,24.0,73.0,0.5,8.0,16.0,24
183,静安监测站,2026-06-23 03:00:00,优,-,11.0,18.0,77.0,0.4,8.0,13.0,25
183,静安监测站,2026-06-23 04:00:00,优,-,7.0,10.0,77.0,0.4,7.0,10.0,25
183,静安监测站,2026-06-23 05:00:00,优,-,10.0,13.0,65.0,0.5,7.0,14.0,21
183,静安监测站,2026-06-23 06:00:00,优,-,6.0,6.0,68.0,0.4,7.0,15.0,22
